# x_kpc y_kpc z_kpc flag luminosity_r_mag
1.022945312500000000e+03 1.574414062500000000e+03 -1.861875000000000000e+02 1.000000000000000000e+00 -1.802966690063476562e+01
4.637968750000000000e+02 4.326093750000000000e+02 2.920937500000000000e+02 1.000000000000000000e+00 -1.874332237243652344e+01
3.100390625000000000e+01 8.809375000000000000e+01 -5.142343750000000000e+02 1.000000000000000000e+00 -1.897497558593750000e+01
1.158156250000000000e+03 -1.874781250000000000e+03 -9.108750000000000000e+02 1.000000000000000000e+00 -1.693763351440429688e+01
1.207421875000000000e+01 -2.496406250000000000e+02 2.858593750000000000e+02 1.000000000000000000e+00 -1.901427841186523438e+01
1.345554687500000000e+03 3.833281250000000000e+02 4.010625000000000000e+02 1.000000000000000000e+00 -1.895852279663085938e+01
1.399101562500000000e+03 -2.237265625000000000e+02 -1.655765625000000000e+03 1.000000000000000000e+00 -1.643002891540527344e+01
-1.018441406250000000e+03 3.585156250000000000e+02 8.712500000000000000e+01 1.000000000000000000e+00 -1.882584762573242188e+01
-1.067343750000000000e+02 -4.790468750000000000e+02 -9.440156250000000000e+02 1.000000000000000000e+00 -1.871647262573242188e+01
-1.003164062500000000e+02 -1.611015625000000000e+02 4.007343750000000000e+02 1.000000000000000000e+00 -1.797775459289550781e+01
2.103093750000000000e+03 -6.959843750000000000e+02 2.878906250000000000e+02 1.000000000000000000e+00 -1.820091056823730469e+01
5.570234375000000000e+02 1.217304687500000000e+03 3.839062500000000000e+01 1.000000000000000000e+00 -1.769392013549804688e+01
-1.847265625000000000e+01 3.955078125000000000e+02 8.855781250000000000e+02 1.000000000000000000e+00 -1.761248779296875000e+01
1.400781250000000000e+02 1.625250000000000000e+03 -2.659687500000000000e+02 1.000000000000000000e+00 -1.850638389587402344e+01
-2.980156250000000000e+02 1.212250000000000000e+03 -1.242015625000000000e+03 1.000000000000000000e+00 -1.793797874450683594e+01
2.092343750000000000e+03 1.068640625000000000e+03 5.515937500000000000e+02 1.000000000000000000e+00 -1.808646965026855469e+01
4.389843750000000000e+01 3.630937500000000000e+02 2.679375000000000000e+02 1.000000000000000000e+00 -1.876259422302246094e+01
1.382437500000000000e+03 2.335937500000000000e+01 4.798750000000000000e+02 1.000000000000000000e+00 -1.763732337951660156e+01
-6.326718750000000000e+02 -3.027265625000000000e+02 1.093828125000000000e+03 1.000000000000000000e+00 -1.809300231933593750e+01
4.639804687500000000e+02 -1.298125000000000000e+02 7.156250000000000000e+00 1.000000000000000000e+00 -1.876123809814453125e+01
-1.731968750000000000e+03 -4.293203125000000000e+02 3.242187500000000000e+02 1.000000000000000000e+00 -1.798825454711914062e+01
