id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
11484515 	,9 	,9 	,1.14e+14 	,3.17e+12 	,True 	,-2.6e+01 	,4.43e+10 	,True 	,-2.1e+01 
11484522 	,4 	,4 	,1.38e+14 	,1.33e+12 	,True 	,-2.5e+01 	,7.12e+09 	,True 	,-1.9e+01 
1263654 	,65 	,65 	,3.55e+14 	,3.01e+12 	,True 	,-2.5e+01 	,1.81e+11 	,True 	,-2.3e+01 
11543591 	,305 	,305 	,7.04e+14 	,3.89e+12 	,True 	,-2.6e+01 	,9.86e+11 	,True 	,-2.4e+01 
11603245 	,322 	,322 	,8.89e+14 	,5.24e+12 	,True 	,-2.6e+01 	,7.59e+11 	,True 	,-2.4e+01 
11603247 	,28 	,28 	,1.73e+14 	,2.95e+12 	,True 	,-2.5e+01 	,1.20e+11 	,True 	,-2.2e+01 
1263657 	,25 	,25 	,4.96e+14 	,8.57e+12 	,True 	,-2.6e+01 	,4.76e+10 	,True 	,-2.1e+01 
11659115 	,414 	,414 	,1.03e+15 	,5.63e+12 	,True 	,-2.6e+01 	,1.06e+12 	,True 	,-2.4e+01 
11659116 	,30 	,30 	,1.46e+14 	,2.05e+12 	,True 	,-2.5e+01 	,8.12e+10 	,True 	,-2.1e+01 
11713845 	,315 	,315 	,8.33e+14 	,4.26e+12 	,True 	,-2.6e+01 	,7.22e+11 	,True 	,-2.4e+01 
11713848 	,17 	,17 	,1.41e+14 	,3.16e+12 	,True 	,-2.5e+01 	,2.59e+10 	,True 	,-2e+01 
11713851 	,15 	,15 	,1.41e+14 	,1.66e+12 	,True 	,-2.5e+01 	,6.11e+09 	,True 	,-2e+01 
11767506 	,319 	,319 	,8.00e+14 	,5.69e+12 	,True 	,-2.6e+01 	,8.00e+11 	,True 	,-2.4e+01 
11767509 	,14 	,14 	,1.37e+14 	,3.04e+12 	,True 	,-2.6e+01 	,1.31e+10 	,True 	,-2e+01 
11767510 	,10 	,10 	,1.76e+14 	,4.42e+12 	,True 	,-2.6e+01 	,1.17e+10 	,True 	,-2.1e+01 
1263663 	,20 	,20 	,1.31e+14 	,3.96e+12 	,True 	,-2.6e+01 	,2.01e+10 	,True 	,-2e+01 
11823213 	,275 	,275 	,8.96e+14 	,9.03e+12 	,True 	,-2.6e+01 	,4.69e+11 	,True 	,-2.3e+01 
11876224 	,291 	,291 	,8.22e+14 	,6.38e+12 	,True 	,-2.7e+01 	,4.76e+11 	,True 	,-2.3e+01 
11876226 	,13 	,13 	,1.26e+14 	,4.27e+12 	,True 	,-2.6e+01 	,1.21e+11 	,True 	,-2.2e+01 
11929315 	,178 	,178 	,5.68e+14 	,6.95e+12 	,True 	,-2.6e+01 	,2.54e+11 	,True 	,-2.3e+01 
11929316 	,30 	,30 	,1.04e+14 	,1.69e+12 	,True 	,-2.5e+01 	,1.98e+10 	,True 	,-2.1e+01 
11929319 	,12 	,12 	,1.12e+14 	,3.09e+12 	,True 	,-2.5e+01 	,4.37e+10 	,True 	,-2.1e+01 
11988351 	,302 	,302 	,8.52e+14 	,4.59e+12 	,True 	,-2.6e+01 	,8.64e+11 	,True 	,-2.4e+01 
11988352 	,20 	,20 	,1.01e+14 	,1.88e+12 	,True 	,-2.5e+01 	,1.48e+10 	,True 	,-2.1e+01 
11988354 	,24 	,24 	,3.94e+14 	,7.40e+12 	,True 	,-2.6e+01 	,5.81e+10 	,True 	,-2.1e+01 
11988378 	,2 	,2 	,8.94e+14 	,1.01e+13 	,True 	,-2.7e+01 	,3.46e+11 	,True 	,-2.3e+01 
12045847 	,180 	,180 	,5.59e+14 	,3.64e+12 	,True 	,-2.6e+01 	,1.08e+12 	,True 	,-2.4e+01 
12045848 	,61 	,61 	,6.21e+14 	,1.27e+13 	,True 	,-2.7e+01 	,4.75e+11 	,True 	,-2.3e+01 
12045851 	,15 	,15 	,1.11e+14 	,2.51e+12 	,True 	,-2.5e+01 	,5.96e+10 	,True 	,-2.2e+01 
